candidate_id,company_name,company_domain,ground_truth_stage,ground_truth_announced_on,ground_truth_amount,ground_truth_currency,ground_truth_total_raised,official_source_url,official_source_kind,official_source_publisher,official_published_at,evidence_confidence,evidence_quote,review_status
freshness-2026-08_7825023f4407a3b4,Apnimed,apnimed.com,ipo,2026-07-31,192000000,USD,,,,,,,,pending_ground_truth_research
freshness-2026-08_e322ef54c4c06283,Applied Computing,appliedcomputing.com,series_a,2026-07-16,17400000,EUR,,,,,,,,pending_ground_truth_research
freshness-2026-08_3b1b9aa9f2c44f27,Attovia Therapeutics,attovia.com,ipo,2026-08-05,289000000,USD,,,,,,,,pending_ground_truth_research
freshness-2026-08_7d52607e80abed75,"Aurenar, Inc",aurenar.com,seed,2026-07-28,5700000,USD,,,,,,,,pending_ground_truth_research
freshness-2026-08_f97815f9af519d1b,Axis Robotics,axisrobotics.ai,seed,2026-07-27,12000000,USD,,,,,,,,pending_ground_truth_research
freshness-2026-08_6764805852309f57,BeCertain,becertain.ai,pre_seed,2026-07-16,1700000,GBP,,,,,,,,pending_ground_truth_research
freshness-2026-08_786ee88fb2e8d016,"BlossomHill Therapeutics, Inc.",bhtherapeutics.com,ipo,2026-08-07,150000000,USD,,,,,,,,pending_ground_truth_research
freshness-2026-08_9a66e0fd66a04bfc,BioScout,bioscout.com.au,seed,2026-08-07,68000000,AUD,,,,,,,,pending_ground_truth_research
freshness-2026-08_309dd412e38d9144,Cantina,cantina.security,venture_unknown,2026-07-30,8000000,USD,,,,,,,,pending_ground_truth_research
freshness-2026-08_86b51253da429bbf,Cheiron,cheiron.bio,seed,2026-07-22,8000000,USD,,,,,,,,pending_ground_truth_research
freshness-2026-08_33cd5e60cc4643e0,Claros Technologies,clarostechnologies.com,series_b,2026-07-28,55000000,USD,,,,,,,,pending_ground_truth_research
freshness-2026-08_ede2851f05695cb0,conmeet,conmeet.io,seed,2026-08-05,6000000,EUR,,,,,,,,pending_ground_truth_research
freshness-2026-08_c91478a9c76a2eae,Cordant,cordant.ai,seed,2026-07-21,8000000,USD,,,,,,,,pending_ground_truth_research
